,CountryName,Year,Value,CountryCode,hash
220.1971,Zimbabwe,1971,6.03226,220,5922f5
2.1972,Andorra,1972,16.40954,2,9d3bd1
3.1972,Afghanistan,1972,2.39845,3,c69153
4.1972,Angola,1972,6.38083,4,a42522
7.1972,Argentina,1972,49.47775,7,354bf9
10.1972,Antigua and Barbuda,1972,78.77244,10,530670
14.1972,Burundi,1972,0.78538,14,461758
15.1972,Belgium,1972,81.02926,15,5cb4c9
17.1972,Burkina Faso,1972,0.73702,17,e71b56
19.1972,Bulgaria,1972,90.92694,19,5c7772
20.1972,Bahrain,1972,46.20536,20,3ae11c
23.1972,Belarus,1972,90.09741,23,027a12
25.1972,Bermuda,1972,80.46234,25,027ed3
28.1972,Barbados,1972,80.17213,28,93409a
29.1972,Brunei Darussalam,1972,54.20869,29,d1a713
30.1972,Bhutan,1972,0.49523,30,bb2254
31.1972,Botswana,1972,7.57806,31,180c89
32.1972,Central African Republic,1972,1.84832,32,dba867
33.1972,Canada,1972,94.98244,33,cd6a7b
36.1972,Chile,1972,56.80085,36,349507
38.1972,Cote d'Ivoire,1972,5.22203,38,58f76a
39.1972,Cameroon,1972,5.29644,39,73a7dd
40.1972,"Congo, Rep.",1972,13.20054,40,c0faa9
41.1972,Colombia,1972,27.73574,41,2f7373
43.1972,Cabo Verde,1972,10.49091,43,07dee4
44.1972,Costa Rica,1972,33.7112,44,1bf429
45.1972,Cuba,1972,21.95508,45,c484b1
48.1972,Cyprus,1972,56.5222,48,852add
49.1972,Czech Republic,1972,86.96124,49,1fef42
55.1972,Algeria,1972,6.94001,55,bd6acc
56.1972,Ecuador,1972,25.71716,56,09f199
57.1972,"Egypt, Arab Rep.",1972,21.59662,57,ff11f8
58.1972,Euro area,1972,76.38047028,58,a356c2
60.1972,Spain,1972,48.48255,60,20a8df
62.1972,Ethiopia,1972,2.08051,62,3d91f7
63.1972,Finland,1972,110.26213,63,c909b1
64.1972,Fiji,1972,56.9908,64,bbb7ef
65.1972,France,1972,80.86042,65,e3772a
67.1972,"Micronesia, Fed. Sts.",1972,124.10735,67,03e386
68.1972,Gabon,1972,9.6754,68,a06dcd
69.1972,United Kingdom,1972,75.62249,69,976912
74.1972,Guinea-Bissau,1972,3.1267,74,b07cb9
76.1972,Greece,1972,59.93902,76,4902a4
77.1972,Grenada,1972,36.62767,77,dbf2a2
79.1972,Guatemala,1972,8.92265,79,11760e
81.1972,Guyana,1972,68.56491,81,bc88a2
82.1972,"Hong Kong SAR, China",1972,33.3215,82,85a72d
86.1972,Hungary,1972,69.0728,86,f14e46
87.1972,Indonesia,1972,13.66245,87,35536a
89.1972,India,1972,14.43389,89,967ce3
90.1972,Ireland,1972,77.62004,90,eb2131
91.1972,"Iran, Islamic Rep.",1972,24.22568,91,e3f25e
92.1972,Iraq,1972,14.57529,92,1aed9e
95.1972,Italy,1972,58.0286,95,ad79ef
97.1972,Jordan,1972,36.10508,97,674027
98.1972,Japan,1972,88.29403,98,fcf29f
100.1972,Kenya,1972,12.3648,100,a84f56
103.1972,Kiribati,1972,11.25121,103,3f57ad
105.1972,"Korea, Rep.",1972,34.62851,105,89088f
107.1972,Kuwait,1972,55.29421,107,93295b
108.1972,Lao PDR,1972,2.44768,108,ed2615
110.1972,Liberia,1972,5.33704,110,1ed5dd
111.1972,Libya,1972,9.75109,111,55949d
