CountryName,Year,Value,hash
Canada,1973,29.873,cd6a7b
Estonia,2005,29.879,f0a96d
United Kingdom,1993,29.883,976912
Canada,1978,29.892,cd6a7b
Ireland,2014,29.898,eb2131
Spain,2010,29.904,20a8df
Australia,2005,29.91,ceafb5
Australia,2003,29.916,ceafb5
Denmark,1966,29.92,89da12
Iceland,1981,29.938,b3c92e
Spain,1987,29.962,20a8df
Finland,1965,30.017,c909b1
United Kingdom,1966,30.018,976912
Greece,2004,30.025,4902a4
Portugal,1997,30.036,a49519
Portugal,2009,30.049,a49519
Portugal,1996,30.086,a49519
Spain,1988,30.101,20a8df
Iceland,1990,30.14,b3c92e
Ireland,1980,30.141,eb2131
Canada,1977,30.17,cd6a7b
Iceland,1982,30.213,b3c92e
Canada,2011,30.242,cd6a7b
Iceland,1993,30.254,b3c92e
Estonia,2001,30.262,f0a96d
Portugal,2004,30.265,a49519
Australia,2004,30.271,ceafb5
Portugal,1998,30.295,a49519
Japan,2013,30.313,fcf29f
Greece,2006,30.33,4902a4
Canada,1969,30.337,cd6a7b
Canada,1972,30.338,cd6a7b
Canada,1970,30.341,cd6a7b
Slovak Republic,2013,30.367,36d711
Iceland,1995,30.377,b3c92e
Israel,2010,30.398,4c197d
Estonia,2006,30.415,f0a96d
Denmark,1967,30.427,89da12
Australia,2000,30.435,ceafb5
Ireland,2007,30.442,eb2131
Canada,2010,30.444,cd6a7b
New Zealand,2009,30.454,a2238e
Iceland,1988,30.474,b3c92e
Canada,1980,30.48,cd6a7b
Iceland,1991,30.49,b3c92e
Canada,2013,30.539,cd6a7b
Israel,2013,30.573,4c197d
New Zealand,2010,30.576,a2238e
Iceland,1989,30.583,b3c92e
Greece,1998,30.588,4902a4
Portugal,2010,30.592,a49519
Norway,1966,30.615,988455
United Kingdom,1994,30.615,976912
Belgium,1965,30.625,5cb4c9
United Kingdom,1979,30.693,976912
Canada,2012,30.72,cd6a7b
Greece,2009,30.807,4902a4
Canada,2014,30.823,cd6a7b
Israel,2011,30.835,4c197d
Estonia,2003,30.84,f0a96d
Netherlands,1965,30.874,fb61c8
New Zealand,2011,30.885,a2238e
United Kingdom,1992,30.9,976912
Ireland,2000,30.925,eb2131
Ireland,1998,30.93,eb2131
Ireland,1999,30.935,eb2131
Portugal,2005,30.938,a49519
Portugal,2001,30.947,a49519
Estonia,2000,30.951,f0a96d
Ireland,1976,30.955,eb2131
Greece,2008,30.963,4902a4
Greece,2003,30.971,4902a4
Spain,1996,30.979,20a8df
Canada,1976,30.982,cd6a7b
Finland,1969,30.987,c909b1
Slovak Republic,2014,31.013,36d711
Ireland,2006,31.018,eb2131
New Zealand,1981,31.05,a2238e
Portugal,1999,31.061,a49519
Luxembourg,1975,31.064,507672
Estonia,2002,31.091,f0a96d
Estonia,2007,31.101,f0a96d
Israel,2014,31.121,4c197d
Estonia,2004,31.131,f0a96d
Finland,1966,31.159,c909b1
Finland,1970,31.159,c909b1
Greece,2007,31.166,4902a4
Portugal,2000,31.175,a49519
Ireland,1981,31.192,eb2131
Slovak Republic,2005,31.194,36d711
Greece,2005,31.226,4902a4
Luxembourg,1976,31.238,507672
New Zealand,1977,31.262,a2238e
Spain,1995,31.294,20a8df
Greece,1999,31.301,4902a4
New Zealand,1986,31.302,a2238e
Iceland,1992,31.308,b3c92e
Spain,2011,31.31,20a8df
Estonia,2008,31.323,f0a96d
Portugal,2002,31.36,a49519
Canada,2009,31.36,cd6a7b
Sweden,1965,31.373,72ddd2
New Zealand,2013,31.373,a2238e
Iceland,1997,31.377,b3c92e
Slovak Republic,2004,31.382,36d711
Poland,2010,31.409,5ff03b
Ireland,1997,31.434,eb2131
Portugal,2003,31.456,a49519
Canada,1975,31.461,cd6a7b
Iceland,1996,31.462,b3c92e
Portugal,2006,31.486,a49519
Canada,2008,31.529,cd6a7b
Germany,1970,31.53,17d53e
Poland,2009,31.536,5ff03b
